"","dateid","platform","gamemode","mapname","matchid","roundnumber","objectivelocation","winrole","endroundreason","roundduration","clearancelevel","skillrank","role","team","haswon","operator","nbkills","isdead","primaryweapon","primaryweapontype","primarysight","primarygrip","primaryunderbarrel","primarybarrel","secondaryweapon","secondaryweapontype","secondarysight","secondarygrip","secondaryunderbarrel","secondarybarrel","secondarygadget"
"173",20170213,"PC","SECURE_AREA","HOUSE",4174121609,5,"MASTER_BEDROOM","Attacker","DefendersEliminated",183,79,"Silver","Attacker",0,1,"SWAT-THERMITE",1,1,"556XI","Assault_Rifles","EosHolo","Angle","None","Flash","M45_MEUSOC","Pistols","None","None","None","None","SMOKE_GRENADE"
"174",20170213,"XONE","SECURE_AREA","BANK",1183755661,4,"LOCKERS","Defender","AttackersSurrendered",200,174,"Gold","Defender",0,1,"SWAT-PULSE",2,1,"UMP45","Submachine_Guns","Reflex","Angle","None","Compensator","M45_MEUSOC","Pistols","None","None","None","MuzzleBrake","NITRO_CELL"
"175",20170212,"PC","SECURE_AREA","HOUSE",2826736849,8,"MASTER_BEDROOM","Defender","ObjectiveProtected",232,109,"Unranked","Attacker",1,0,"SAS-THATCHER",0,1,"AR33","Assault_Rifles","Acog","Vertical","None","Flash","P226_MK_25","Pistols","None","None","None","None","CLAYMORE"
"176",20170216,"PS4","SECURE_AREA","COASTLINE",3791443869,4,"2F_PENTHOUSE","Defender","AttackersEliminated",202,122,"Silver","Attacker",1,0,"BOPE-CAPITAO",0,1,"PARA-308","Assault_Rifles","Acog","Vertical","None","Suppressor","PRB92","Pistols","None","None","None","None","CLAYMORE"
"177",20170213,"XONE","BOMB","FAVELAS",4167618769,5,"1F_BIKER'S_APARTMENT-1F_BIKER'S_BEDROOM","Attacker","DefendersEliminated",145,115,"Gold","Attacker",0,1,"GIGN-MONTAGNE",0,1,"Shield","Shield","None","None","None","None","LFP586","Pistols","None","None","Laser","None","SMOKE_GRENADE"
"178",20170221,"PS4","BOMB","YACHT",344424161,4,"CAFETERIA-STAFF_DORMITORY","Defender","AttackersEliminated",178,205,"Platinum","Defender",0,1,"NAVYSEAL-VALKYRIE",1,0,"MPX","Submachine_Guns","EosHolo","Vertical","None","MuzzleBrake","D-50","Pistols","None","None","None","None","NITRO_CELL"
"179",20170212,"PS4","SECURE_AREA","KAFE_DOSTOYEVSKY",2595700949,1,"KITCHEN_PREP","Attacker","DefendersEliminated",142,146,"Gold","Attacker",0,1,"GSG9-RESERVE",2,1,"552_COMMANDO","Assault_Rifles","Spectator","Spectator","Spectator","Spectator","P12","Pistols","Spectator","Spectator","Spectator","Spectator","FRAG_GRENADE"
"180",20170216,"PC","SECURE_AREA","CHALET",3957878389,5,"DINING_ROOM","Attacker","DefendersEliminated",123,162,"Copper","Attacker",0,1,"BOPE-CAPITAO",1,0,"PARA-308","Assault_Rifles","Acog","Vertical","None","HeavyBarrel","PRB92","Pistols","None","None","None","Suppressor","STUN_GRENADE"
"181",20170221,"PS4","SECURE_AREA","CONSULATE",1738681981,2,"ARCHIVES","Defender","AttackersEliminated",162,80,"Copper","Attacker",1,0,"SWAT-THERMITE",0,1,"556XI","Assault_Rifles","EosHolo","Vertical","None","Compensator","M45_MEUSOC","Pistols","None","None","Laser","MuzzleBrake","SMOKE_GRENADE"
"182",20170213,"XONE","SECURE_AREA","HEREFORD_BASE",3657698009,1,"ARMORY","Attacker","DefendersEliminated",219,33,"Silver","Attacker",0,1,"SPETSNAZ-FUZE",2,0,"AK-12","Assault_Rifles","Reflex","Vertical","None","Compensator","PMM","Pistols","None","None","None","None","BREACH_CHARGE"
"183",20170216,"PS4","SECURE_AREA","CONSULATE",1471176821,2,"ARCHIVES","Attacker","DefendersEliminated",217,96,"Gold","Attacker",1,1,"SPETSNAZ-FUZE",1,0,"AK-12","Assault_Rifles","Reflex","Vertical","Laser","MuzzleBrake","PMM","Pistols","None","None","Laser","MuzzleBrake","BREACH_CHARGE"
"184",20170213,"PS4","HOSTAGE","CONSULATE",2281078569,2,"ARCHIVES","Attacker","DefendersEliminated",228,120,"Silver","Attacker",1,1,"SWAT-ASH",1,0,"R4-C","Assault_Rifles","Acog","Vertical","None","HeavyBarrel","M45_MEUSOC","Pistols","None","None","Laser","None","SMOKE_GRENADE"
"185",20170213,"PS4","SECURE_AREA","SKYSCRAPER",2658529069,1,"2F_WORK_OFFICE","Attacker","DefendersEliminated",133,34,"Copper","Attacker",0,1,"SWAT-THERMITE",0,1,"556XI","Assault_Rifles","Acog","Vertical","None","Suppressor","M45_MEUSOC","Pistols","None","None","None","None","SMOKE_GRENADE"
"186",20170216,"XONE","SECURE_AREA","BARTLETT_U.",637322441,1,"MODEL_HALL","Attacker","DefendersEliminated",136,10,"Unranked","Attacker",0,1,"G.E.O.-JACKAL",0,0,"C7E","Assault_Rifles","Acog","Vertical","None","Compensator","ITA12S","Shotguns","None","None","None","None","BREACH_CHARGE"
"187",20170212,"PS4","SECURE_AREA","BORDER",763560261,2,"ARMORY_LOCKERS","Attacker","DefendersEliminated",170,88,"Gold","Defender",0,0,"GSG9-BANDIT",0,1,"MP7","Submachine_Guns","EosHolo","None","None","MuzzleBrake","P12","Pistols","None","None","None","MuzzleBrake","BARBED_WIRE"
"188",20170212,"PS4","BOMB","CHALET",69540161,3,"WINE_CELLAR-SNOWMOBILE_GARAGE","Attacker","DefendersEliminated",173,23,"Bronze","Defender",1,0,"GSG9-BANDIT",0,1,"MP7","Submachine_Guns","RedDot","None","None","Compensator","P12","Pistols","None","None","None","None","BARBED_WIRE"
"189",20170212,"PC","BOMB","OREGON",1174197921,2,"REAR_STAGE-WATCH_TOWER","Defender","AttackersEliminated",188,68,"Silver","Defender",0,1,"SWAT-PULSE",0,0,"UMP45","Submachine_Guns","RedDot","Vertical","None","Compensator","M45_MEUSOC","Pistols","None","None","None","None","NITRO_CELL"
"190",20170212,"XONE","BOMB","FAVELAS",2968134369,3,"2F_FOOTBALL_BEDROOM-2F_FOOTBALL_OFFICE","Defender","AttackersEliminated",181,65,"Gold","Defender",1,1,"GSG9-BANDIT",0,1,"MP7","Submachine_Guns","EosHolo","None","None","MuzzleBrake","P12","Pistols","None","None","None","MuzzleBrake","BARBED_WIRE"
"191",20170216,"XONE","BOMB","COASTLINE",166894741,6,"2F_PENTHOUSE-2F_THEATER","Attacker","DefendersEliminated",270,7,"Bronze","Defender",0,0,"SAS-MUTE",1,1,"MP5K","Submachine_Guns","Reflex","None","None","None","P226_MK_25","Pistols","None","None","None","None","NITRO_CELL"
"192",20170212,"PS4","SECURE_AREA","YACHT",1511197261,7,"COCKPIT","Attacker","DefendersEliminated",178,87,"Gold","Defender",1,0,"NAVYSEAL-VALKYRIE",1,1,"MPX","Submachine_Guns","EosHolo","Vertical","None","Compensator","D-50","Pistols","None","None","None","None","NITRO_CELL"
"193",20170212,"XONE","SECURE_AREA","SKYSCRAPER",1499864161,4,"2F_WORK_OFFICE","Attacker","DefendersEliminated",139,47,"Gold","Attacker",1,1,"GIGN-TWITCH",2,0,"F2","Assault_Rifles","Reflex","Vertical","None","None","P9","Pistols","None","None","None","None","BREACH_CHARGE"
"194",20170221,"PS4","SECURE_AREA","OREGON",3878470609,1,"LAUNDRY_ROOM","Attacker","DefendersEliminated",156,97,"Gold","Defender",1,0,"NAVYSEAL-VALKYRIE",1,1,"MPX","Submachine_Guns","EosHolo","Vertical","None","Compensator","D-50","Pistols","None","None","Laser","None","NITRO_CELL"
"195",20170216,"PC","HOSTAGE","CHALET",3064558069,4,"LIBRARY","Defender","AttackersEliminated",154,56,"Silver","Attacker",1,0,"GIGN-MONTAGNE",0,1,"Shield","Shield","None","None","None","None","LFP586","Pistols","None","None","None","None","SMOKE_GRENADE"
"196",20170213,"XONE","SECURE_AREA","OREGON",2678691989,3,"MEETING_HALL","Defender","AttackersEliminated",215,18,"Unranked","Defender",1,1,"GSG9-JAGER",1,0,"416-C_CARBINE","Assault_Rifles","RedDot","Vertical","Laser","Compensator","P12","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"197",20170216,"PS4","SECURE_AREA","BARTLETT_U.",3267338549,4,"MODEL_HALL","Defender","AttackersEliminated",168,81,"Gold","Attacker",1,0,"SAS-SLEDGE",0,1,"L85A2","Assault_Rifles","EosHolo","Vertical","None","MuzzleBrake","SMG-11","Submachine_Guns","None","Vertical","None","Compensator","FRAG_GRENADE"
"198",20170212,"PS4","BOMB","OREGON",2588747929,4,"REAR_STAGE-WATCH_TOWER","Defender","BombExploded",232,79,"Unranked","Defender",0,1,"SWAT-CASTLE",0,1,"M1014","Shotguns","None","None","Laser","None","5.7_USG","Pistols","None","None","None","None","IMPACT_GRENADE"
"199",20170221,"PS4","BOMB","KAFE_DOSTOYEVSKY",2817805489,2,"FIREPLACE_HALL-MINING_ROOM","Attacker","DefendersEliminated",201,54,"Gold","Defender",0,0,"SWAT-CASTLE",0,1,"UMP45","Submachine_Guns","Reflex","Vertical","None","None","5.7_USG","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"200",20170213,"PS4","SECURE_AREA","SKYSCRAPER",2144762981,5,"1F_BBQ","Defender","AttackersEliminated",194,68,"Unranked","Attacker",0,0,"SPETSNAZ-FUZE",1,1,"AK-12","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","PMM","Pistols","None","None","None","None","BREACH_CHARGE"
"201",20170212,"XONE","SECURE_AREA","HOUSE",3949268389,4,"GARAGE","Attacker","DefendersEliminated",177,22,"Unranked","Defender",0,0,"SWAT-PULSE",0,1,"M1014","Shotguns","None","None","None","None","M45_MEUSOC","Pistols","None","None","None","None","NITRO_CELL"
"202",20170212,"PS4","SECURE_AREA","CONSULATE",3296719709,4,"GARAGE","Attacker","DefendersEliminated",83,149,"Bronze","Attacker",1,1,"SAT-HIBANA",2,0,"TYPE-89","Assault_Rifles","Acog","Vertical","None","Flash","BEARING_9","Submachine_Guns","EosHolo","None","None","Flash","CLAYMORE"
"203",20170213,"XONE","SECURE_AREA","KANAL",2448068589,6,"MAPS_OFFICE","Attacker","DefendersEliminated",190,146,"Gold","Attacker",1,1,"SWAT-ASH",1,0,"R4-C","Assault_Rifles","EosHolo","Vertical","None","HeavyBarrel","5.7_USG","Pistols","None","None","None","None","BREACH_CHARGE"
"204",20170216,"PS4","SECURE_AREA","KANAL",2444681649,6,"SERVER_ROOM","Defender","ObjectiveProtected",236,27,"Gold","Attacker",1,0,"SPETSNAZ-FUZE",1,1,"AK-12","Assault_Rifles","Acog","Vertical","None","Compensator","PMM","Pistols","None","None","None","None","BREACH_CHARGE"
"205",20170212,"PS4","SECURE_AREA","BARTLETT_U.",2409251929,1,"CLASSROOM","Attacker","DefendersEliminated",199,212,"Gold","Attacker",0,1,"G.E.O.-JACKAL",1,1,"C7E","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","USP40","Pistols","None","None","None","MuzzleBrake","BREACH_CHARGE"
"206",20170216,"PC","BOMB","FAVELAS",1532735781,4,"2F_FOOTBALL_BEDROOM-2F_FOOTBALL_OFFICE","Attacker","DefendersEliminated",224,66,"Unranked","Attacker",1,1,"SWAT-ASH",0,1,"R4-C","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","M45_MEUSOC","Pistols","None","None","None","None","SMOKE_GRENADE"
"207",20170212,"XONE","SECURE_AREA","BANK",1012552581,1,"ARCHIVES","Attacker","DefendersEliminated",206,65,"Gold","Defender",1,0,"SAT-ECHO",0,1,"MP5SD","Submachine_Guns","Acog","Angle","None","None","BEARING_9","Submachine_Guns","RedDot","None","None","Flash","DEPLOYABLE_SHIELD"
"208",20170213,"PS4","SECURE_AREA","YACHT",1406557241,1,"CASINO","Attacker","DefendersEliminated",166,124,"Gold","Attacker",0,1,"GIGN-TWITCH",1,0,"F2","Assault_Rifles","EosHolo","Vertical","None","MuzzleBrake","P9","Pistols","None","None","None","Suppressor","BREACH_CHARGE"
"209",20170213,"XONE","SECURE_AREA","CLUB_HOUSE",2046879021,5,"GARAGE","Defender","AttackersEliminated",224,100,"Silver","Defender",1,1,"GSG9-BANDIT",1,0,"MP7","Submachine_Guns","Acog","None","None","Compensator","P12","Pistols","None","None","None","MuzzleBrake","NITRO_CELL"
"210",20170212,"XONE","SECURE_AREA","KAFE_DOSTOYEVSKY",2280603389,4,"TRAIN_MUSEUM","Attacker","DefendersEliminated",203,152,"Gold","Attacker",1,1,"SPETSNAZ-GLAZ",2,0,"OTs-03","Marksman_Rifles","Reflex","None","None","MuzzleBrake","PMM","Pistols","None","None","None","MuzzleBrake","SMOKE_GRENADE"
"211",20170216,"PC","BOMB","BORDER",3858707869,5,"ARMORY_LOCKERS-ARCHIVES","Attacker","DefendersEliminated",204,65,"Unranked","Attacker",0,1,"SAS-SLEDGE",0,0,"L85A2","Assault_Rifles","RedDot","None","None","None","SMG-11","Submachine_Guns","EosHolo","None","None","None","STUN_GRENADE"
"212",20170216,"PC","HOSTAGE","HOUSE",426981041,3,"LAUNDRY_ROOM","Attacker","HostageExtracted",134,50,"Gold","Attacker",0,1,"GIGN-TWITCH",0,0,"F2","Assault_Rifles","RedDot","Vertical","Laser","Flash","P9","Pistols","None","None","None","None","BREACH_CHARGE"
"213",20170212,"PS4","SECURE_AREA","BANK",1633198601,4,"CEO_OFFICE","Defender","AttackersEliminated",197,130,"Unranked","Attacker",1,0,"GIGN-TWITCH",1,1,"F2","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","P9","Pistols","None","None","None","Suppressor","BREACH_CHARGE"
"214",20170212,"PS4","HOSTAGE","FAVELAS",1279046601,3,"2F_GROW_ROOM","Defender","AttackersEliminated",171,36,"Bronze","Attacker",0,0,"GIGN-TWITCH",0,1,"F2","Assault_Rifles","RedDot","Vertical","None","Flash","P9","Pistols","None","None","None","None","BREACH_CHARGE"
"215",20170213,"PS4","SECURE_AREA","CHALET",2297852169,1,"DINING_ROOM","Defender","AttackersEliminated",215,142,"Platinum","Attacker",0,0,"NAVYSEAL-BLACKBEARD",1,1,"MK17_CQB","Assault_Rifles","Acog","Vertical","None","HeavyBarrel","D-50","Pistols","None","None","None","None","BREACH_CHARGE"
"216",20170212,"PS4","HOSTAGE","CLUB_HOUSE",1599649921,9,"STRIP_CLUB","Attacker","DefendersEliminated",204,139,"Silver","Defender",1,0,"SAT-ECHO",0,1,"SuperNova","Shotguns","EosHolo","None","None","None","P229","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"217",20170221,"XONE","SECURE_AREA","KAFE_DOSTOYEVSKY",1136638581,2,"TRAIN_MUSEUM","Attacker","DefendersEliminated",166,198,"Platinum","Defender",0,0,"SAS-SMOKE",0,1,"FMG-9","Submachine_Guns","Reflex","None","None","MuzzleBrake","SMG-11","Submachine_Guns","EosHolo","Vertical","None","HeavyBarrel","BARBED_WIRE"
"218",20170216,"XONE","SECURE_AREA","BARTLETT_U.",2539645269,4,"CLASSROOM","Attacker","ObjectiveCaptured",139,43,"Copper","Defender",0,0,"G.E.O.-MIRA",0,1,"VECTOR_.45_ACP","Submachine_Guns","RedDot","Vertical","Laser","Flash","ITA12S","Shotguns","Reflex","None","Laser","None","NITRO_CELL"
"219",20170212,"PC","SECURE_AREA","KANAL",3802865589,3,"MAPS_OFFICE","Attacker","ObjectiveCaptured",243,65,"Unranked","Defender",1,0,"GSG9-JAGER",1,1,"416-C_CARBINE","Assault_Rifles","Reflex","Vertical","None","Compensator","P12","Pistols","None","None","None","MuzzleBrake","DEPLOYABLE_SHIELD"
"220",20170213,"PS4","SECURE_AREA","HEREFORD_BASE",892449921,2,"ARMORY","Defender","AttackersEliminated",231,73,"Gold","Attacker",1,0,"GSG9-BLITZ",0,1,"Shield","Shield","None","None","None","None","P12","Pistols","None","None","Laser","MuzzleBrake","SMOKE_GRENADE"
"221",20170213,"PS4","SECURE_AREA","CLUB_HOUSE",3241754289,8,"BEDROOM","Defender","ObjectiveProtected",244,55,"Bronze","Defender",0,1,"GSG9-JAGER",0,1,"416-C_CARBINE","Assault_Rifles","RedDot","Vertical","Laser","HeavyBarrel","P12","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"222",20170216,"PS4","BOMB","COASTLINE",3276653089,1,"1F_BLUE_BAR-1F_SUNRISE_BAR","Defender","AttackersEliminated",197,39,"Gold","Defender",1,1,"GIGN-DOC",3,0,"MP5","Submachine_Guns","Reflex","Vertical","None","Flash","P9","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"223",20170213,"PS4","BOMB","SKYSCRAPER",1371364261,4,"2F_EXHIBITION-2F_WORK_OFFICE","Attacker","DefendersEliminated",169,237,"Platinum","Defender",0,0,"GSG9-JAGER",0,1,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","Laser","MuzzleBrake","P12","Pistols","None","None","Laser","MuzzleBrake","BARBED_WIRE"
"224",20170216,"PS4","BOMB","KAFE_DOSTOYEVSKY",2590921029,3,"FIREPLACE_HALL-MINING_ROOM","Defender","DefuserDeactivated",236,174,"Platinum","Defender",1,1,"GIGN-DOC",3,0,"MP5","Submachine_Guns","Acog","Vertical","None","MuzzleBrake","P9","Pistols","None","None","None","None","BARBED_WIRE"
"225",20170213,"PS4","SECURE_AREA","YACHT",4023779149,4,"AKLARK_SUB_ROOM","Defender","AttackersEliminated",227,81,"Silver","Defender",0,1,"GSG9-JAGER",2,0,"416-C_CARBINE","Assault_Rifles","RedDot","Vertical","None","HeavyBarrel","P12","Pistols","None","None","None","MuzzleBrake","BARBED_WIRE"
"226",20170221,"XONE","HOSTAGE","FAVELAS",2382385789,6,"2F_AUNT'S_BEDROOM","Defender","AttackersEliminated",186,57,"Unranked","Defender",0,1,"JTF2-FROST",1,0,"SUPER_90","Shotguns","Reflex","None","Laser","None","MK1_9mm","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"227",20170221,"XONE","SECURE_AREA","OREGON",971430061,2,"LAUNDRY_ROOM","Attacker","DefendersEliminated",170,156,"Bronze","Attacker",1,1,"SAT-HIBANA",0,0,"TYPE-89","Assault_Rifles","Acog","Vertical","Laser","Flash","BEARING_9","Submachine_Guns","Reflex","None","Laser","Flash","CLAYMORE"
"228",20170212,"PC","SECURE_AREA","BANK",119817821,5,"LOCKERS","Defender","AttackersEliminated",150,37,"Gold","Defender",1,1,"GIGN-DOC",0,0,"MP5","Submachine_Guns","None","None","None","None","LFP586","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"229",20170212,"XONE","BOMB","CHALET",2375672329,3,"KITCHEN-TROPHY_ROOM","Defender","AttackersEliminated",176,91,"Unranked","Attacker",0,0,"GIGN-TWITCH",0,1,"F2","Assault_Rifles","Acog","Vertical","Laser","Suppressor","P9","Pistols","None","None","None","None","BREACH_CHARGE"
"230",20170221,"PS4","SECURE_AREA","HEREFORD_BASE",323275301,3,"DINING_ROOM","Defender","ObjectiveProtected",235,31,"Unranked","Attacker",0,0,"GSG9-IQ",0,1,"552_COMMANDO","Assault_Rifles","None","None","None","None","P12","Pistols","None","None","None","None","FRAG_GRENADE"
"231",20170212,"PS4","SECURE_AREA","KAFE_DOSTOYEVSKY",3065769929,4,"CIGAR_LOUNGE","Attacker","DefendersEliminated",166,38,"Bronze","Attacker",1,1,"SWAT-THERMITE",1,1,"556XI","Assault_Rifles","None","None","None","None","M45_MEUSOC","Pistols","None","None","None","None","CLAYMORE"
"232",20170216,"XONE","SECURE_AREA","COASTLINE",2101339761,4,"1F_KITCHEN","Defender","AttackersEliminated",224,130,"Gold","Defender",0,1,"SPETSNAZ-KAPKAN",0,1,"9x19VSN","Submachine_Guns","Reflex","Vertical","None","Compensator","PMM","Pistols","None","None","None","MuzzleBrake","NITRO_CELL"
"233",20170221,"PS4","SECURE_AREA","CLUB_HOUSE",4060661669,3,"BEDROOM","Defender","AttackersEliminated",213,117,"Gold","Defender",1,1,"G.E.O.-MIRA",1,0,"VECTOR_.45_ACP","Submachine_Guns","EosHolo","Vertical","None","MuzzleBrake","USP40","Pistols","None","None","None","MuzzleBrake","DEPLOYABLE_SHIELD"
"234",20170212,"XONE","SECURE_AREA","CLUB_HOUSE",720958361,6,"ARSENAL_ROOM","Attacker","DefendersEliminated",224,28,"Unranked","Defender",0,0,"GIGN-DOC",0,1,"MP5","Submachine_Guns","RedDot","Vertical","None","Suppressor","P9","Pistols","None","None","None","Suppressor","DEPLOYABLE_SHIELD"
"235",20170221,"XONE","SECURE_AREA","PLANE",1322699921,4,"MEETING_ROOM","Defender","AttackersEliminated",225,77,"Silver","Attacker",1,0,"G.E.O.-JACKAL",1,1,"C7E","Assault_Rifles","Acog","Vertical","None","Compensator","ITA12S","Shotguns","EosHolo","None","Laser","None","BREACH_CHARGE"
"236",20170212,"XONE","BOMB","FAVELAS",290895841,3,"2F_AUNT'S_BEDROOM-1F_AUNT'S_APARTMENT","Defender","AttackersEliminated",215,137,"Bronze","Defender",1,1,"SPETSNAZ-KAPKAN",0,0,"9x19VSN","Submachine_Guns","RedDot","Vertical","None","MuzzleBrake","GSH-18","Pistols","None","None","(null)","MuzzleBrake","NITRO_CELL"
"237",20170212,"PS4","SECURE_AREA","PLANE",3339803669,2,"LUGGAGE_HOLD","Attacker","DefendersEliminated",233,154,"Gold","Defender",0,0,"BOPE-CAVEIRA",1,1,"M12","Submachine_Guns","Reflex","None","None","Suppressor","PRB92","Pistols","None","None","None","None","IMPACT_GRENADE"
"238",20170212,"PS4","SECURE_AREA","PLANE",4097908029,1,"LUGGAGE_HOLD","Attacker","ObjectiveCaptured",172,121,"Gold","Attacker",0,1,"SWAT-THERMITE",0,1,"556XI","Assault_Rifles","Reflex","Vertical","None","Flash","M45_MEUSOC","Pistols","None","None","None","Suppressor","CLAYMORE"
"239",20170216,"PS4","SECURE_AREA","BANK",2610563729,2,"LOCKERS","Defender","AttackersEliminated",214,172,"Gold","Defender",0,1,"GSG9-JAGER",3,0,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","Compensator","P12","Pistols","None","None","None","MuzzleBrake","BARBED_WIRE"
"240",20170213,"PS4","SECURE_AREA","HOUSE",1018484601,2,"MASTER_BEDROOM","Attacker","DefendersEliminated",191,36,"Unranked","Attacker",1,1,"SAS-SLEDGE",1,1,"L85A2","Assault_Rifles","RedDot","Vertical","Laser","Compensator","SMG-11","Submachine_Guns","None","Vertical","None","None","STUN_GRENADE"
"241",20170212,"PS4","SECURE_AREA","KANAL",2969961489,7,"BOAT_SUPPLIES","Attacker","DefendersEliminated",153,123,"Unranked","Attacker",0,1,"SPETSNAZ-FUZE",3,1,"AK-12","Assault_Rifles","RedDot","Vertical","None","Compensator","PMM","Pistols","None","None","Laser","MuzzleBrake","BREACH_CHARGE"
"242",20170212,"PS4","SECURE_AREA","CONSULATE",2388745709,4,"VISA_OFFICE","Attacker","DefendersEliminated",224,115,"Silver","Defender",0,0,"SAS-MUTE",0,1,"MP5K","Submachine_Guns","Reflex","None","None","MuzzleBrake","P226_MK_25","Pistols","None","None","None","None","NITRO_CELL"
"243",20170221,"PS4","BOMB","BANK",24633881,2,"LOCKERS-CCTV_ROOM","Attacker","DefendersEliminated",100,123,"Silver","Defender",0,0,"SWAT-PULSE",0,1,"UMP45","Submachine_Guns","EosHolo","Vertical","None","MuzzleBrake","5.7_USG","Pistols","None","None","None","None","NITRO_CELL"
"244",20170216,"PS4","SECURE_AREA","BARTLETT_U.",647348521,8,"LIBRARY","Defender","AttackersEliminated",214,56,"Gold","Attacker",0,0,"SAS-SLEDGE",0,1,"L85A2","Assault_Rifles","EosHolo","Vertical","None","MuzzleBrake","SMG-11","Submachine_Guns","Reflex","Vertical","Laser","Suppressor","FRAG_GRENADE"
"245",20170221,"PS4","BOMB","SKYSCRAPER",3801291109,1,"2F_EXHIBITION-2F_WORK_OFFICE","Attacker","DefendersEliminated",185,81,"Platinum","Attacker",0,1,"SAS-SLEDGE",1,1,"L85A2","Assault_Rifles","RedDot","Vertical","None","Compensator","SMG-11","Submachine_Guns","RedDot","Vertical","None","Compensator","FRAG_GRENADE"
"246",20170221,"XONE","BOMB","OREGON",710105701,8,"LAUDRY_ROOM-SUPPLY_ROOM","Attacker","DefendersEliminated",253,58,"Copper","Defender",1,0,"JTF2-FROST",0,1,"9mm_C1","Submachine_Guns","RedDot","Angle","None","HeavyBarrel","MK1_9mm","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"247",20170212,"XONE","SECURE_AREA","BORDER",1693202001,2,"ARMORY_LOCKERS","Defender","ObjectiveProtected",232,150,"Gold","Defender",0,1,"JTF2-FROST",1,0,"9mm_C1","Submachine_Guns","Reflex","None","None","None","MK1_9mm","Pistols","None","None","Laser","None","DEPLOYABLE_SHIELD"
"248",20170212,"XONE","SECURE_AREA","SKYSCRAPER",2104013521,2,"2F_TEA_ROOM","Attacker","ObjectiveCaptured",162,52,"Unranked","Defender",0,0,"GIGN-ROOK",0,0,"MP5","Submachine_Guns","Reflex","Vertical","None","None","P9","Pistols","None","None","None","None","IMPACT_GRENADE"
"249",20170216,"PS4","SECURE_AREA","COASTLINE",3306429349,5,"2F_BILLIARDS_ROOM","Defender","AttackersSurrendered",19,169,"Platinum","Defender",1,1,"GSG9-JAGER",0,0,"416-C_CARBINE","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","P12","Pistols","None","None","None","MuzzleBrake","BARBED_WIRE"
"250",20170216,"XONE","SECURE_AREA","PLANE",2700615789,3,"LUGGAGE_HOLD","Attacker","DefendersEliminated",212,60,"Gold","Attacker",0,1,"SPETSNAZ-FUZE",0,0,"AK-12","Assault_Rifles","None","Vertical","None","Suppressor","GSH-18","Pistols","None","None","(null)","None","BREACH_CHARGE"
"251",20170213,"XONE","SECURE_AREA","BANK",2394170789,7,"LOCKERS","Defender","AttackersEliminated",162,36,"Silver","Defender",0,1,"GIGN-DOC",2,0,"P90","Submachine_Guns","Reflex","None","Laser","Suppressor","P9","Pistols","None","None","None","None","DEPLOYABLE_SHIELD"
"252",20170221,"PS4","SECURE_AREA","BORDER",976266821,3,"TELLERS","Attacker","DefendersEliminated",196,142,"Gold","Attacker",0,1,"SWAT-ASH",2,0,"G36C","Assault_Rifles","Acog","Vertical","None","Compensator","M45_MEUSOC","Pistols","None","None","None","None","BREACH_CHARGE"
"253",20170221,"XONE","SECURE_AREA","YACHT",1138201721,2,"CASINO","Defender","AttackersEliminated",155,108,"Silver","Attacker",1,0,"SWAT-THERMITE",0,1,"556XI","Assault_Rifles","RedDot","Vertical","None","None","M45_MEUSOC","Pistols","None","None","None","None","SMOKE_GRENADE"
"254",20170213,"PS4","SECURE_AREA","YACHT",3754482129,3,"KITCHEN","Defender","AttackersEliminated",184,111,"Gold","Attacker",0,0,"SAS-THATCHER",2,1,"L85A2","Assault_Rifles","Acog","Vertical","None","Flash","P226_MK_25","Pistols","None","None","Laser","Suppressor","BREACH_CHARGE"
"255",20170221,"PS4","SECURE_AREA","YACHT",62420061,1,"CASINO","Attacker","DefendersEliminated",165,74,"Platinum","Attacker",0,1,"SAT-HIBANA",2,0,"TYPE-89","Assault_Rifles","Acog","Vertical","None","MuzzleBrake","BEARING_9","Submachine_Guns","EosHolo","None","None","Compensator","CLAYMORE"
"256",20170212,"XONE","SECURE_AREA","BANK",3537722329,7,"LOCKERS","Attacker","DefendersEliminated",126,64,"Gold","Attacker",0,1,"GSG9-IQ",3,0,"AUG_A2","Assault_Rifles","Reflex","None","None","Compensator","P12","Pistols","None","None","None","MuzzleBrake","BREACH_CHARGE"
"257",20170216,"PC","SECURE_AREA","COASTLINE",2986126309,6,"2F_PENTHOUSE","Defender","AttackersEliminated",232,30,"Unranked","Attacker",1,0,"SPETSNAZ-FUZE",1,1,"6P41","Light_Machine_Guns","RedDot","Vertical","None","Suppressor","PMM","Pistols","None","None","None","None","BREACH_CHARGE"
